,year,hregion,spc,total,pop,den
0,2015,เขตสุขภาพที่ 1,Anesthesiology,53.0,5853206,0.905486668331851
1,2015,เขตสุขภาพที่ 1,Emergency Medicine,34.0,5853206,0.5808782400619421
2,2015,เขตสุขภาพที่ 1,Family Medicine,66.0,5853206,1.1275871718849464
3,2015,เขตสุขภาพที่ 1,General Practitioner,185.0,5853206,3.1606610121017438
4,2015,เขตสุขภาพที่ 1,Gynecology,88.0,5853206,1.503449562513262
5,2015,เขตสุขภาพที่ 1,Internal Medicine,182.0,5853206,3.109407049743337
6,2015,เขตสุขภาพที่ 1,Neurosurgery,20.0,5853206,0.34169308238937773
7,2015,เขตสุขภาพที่ 1,Ophthalmology,44.0,5853206,0.751724781256631
8,2015,เขตสุขภาพที่ 1,Orthopedic,75.0,5853206,1.2813490589601664
9,2015,เขตสุขภาพที่ 1,Otolaryngology,37.0,5853206,0.6321322024203487
10,2015,เขตสุขภาพที่ 1,Pathology,25.0,5853206,0.4271163529867221
11,2015,เขตสุขภาพที่ 1,Pediatrics,116.0,5853206,1.9818198778583906
12,2015,เขตสุขภาพที่ 1,Physician,1988.0,5853206,33.964292389504145
13,2015,เขตสุขภาพที่ 1,Preventive Medicine,37.0,5853206,0.6321322024203487
14,2015,เขตสุขภาพที่ 1,Psychiatry,31.0,5853206,0.5296242777035355
15,2015,เขตสุขภาพที่ 1,Radiology,40.0,5853206,0.6833861647787555
16,2015,เขตสุขภาพที่ 1,Rehabilitation Medicine,14.0,5853206,0.2391851576725644
17,2015,เขตสุขภาพที่ 1,Surgery,106.0,5853206,1.810973336663702
18,2015,เขตสุขภาพที่ 10,Anesthesiology,54.0,4590892,1.176242002643495
19,2015,เขตสุขภาพที่ 10,Emergency Medicine,7.0,4590892,0.1524758151574901
20,2015,เขตสุขภาพที่ 10,Family Medicine,41.0,4590892,0.8930726316367277
21,2015,เขตสุขภาพที่ 10,General Practitioner,147.0,4590892,3.2019921183072917
22,2015,เขตสุขภาพที่ 10,Gynecology,71.0,4590892,1.5465404108831138
23,2015,เขตสุขภาพที่ 10,Internal Medicine,159.0,4590892,3.463379230005846
24,2015,เขตสุขภาพที่ 10,Neurosurgery,15.0,4590892,0.32673388962319305
25,2015,เขตสุขภาพที่ 10,Ophthalmology,19.0,4590892,0.41386292685604453
26,2015,เขตสุขภาพที่ 10,Orthopedic,32.0,4590892,0.6970322978628118
27,2015,เขตสุขภาพที่ 10,Otolaryngology,17.0,4590892,0.3702984082396188
28,2015,เขตสุขภาพที่ 10,Pathology,18.0,4590892,0.39208066754783166
29,2015,เขตสุขภาพที่ 10,Pediatrics,99.0,4590892,2.156443671513074
30,2015,เขตสุขภาพที่ 10,Physician,1211.0,4590892,26.378316022245784
31,2015,เขตสุขภาพที่ 10,Preventive Medicine,27.0,4590892,0.5881210013217475
32,2015,เขตสุขภาพที่ 10,Psychiatry,10.0,4590892,0.2178225930821287
33,2015,เขตสุขภาพที่ 10,Radiology,48.0,4590892,1.0455484467942178
34,2015,เขตสุขภาพที่ 10,Rehabilitation Medicine,7.0,4590892,0.1524758151574901
35,2015,เขตสุขภาพที่ 10,Surgery,114.0,4590892,2.483177561136267
36,2015,เขตสุขภาพที่ 11,Anesthesiology,25.0,4405448,0.5674791757841654
37,2015,เขตสุขภาพที่ 11,Emergency Medicine,11.0,4405448,0.2496908373450328
38,2015,เขตสุขภาพที่ 11,Family Medicine,30.0,4405448,0.6809750109409985
39,2015,เขตสุขภาพที่ 11,General Practitioner,92.0,4405448,2.088323366885729
40,2015,เขตสุขภาพที่ 11,Gynecology,63.0,4405448,1.430047522976097
